wnid,hierarchy_0,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5,hierarchy_6,hierarchy_7,hierarchy_8,hierarchy_9,hierarchy_10,hierarchy_11,hierarchy_12,hierarchy_13,hierarchy_14,hierarchy_15,hierarchy_16
n01689811,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,saurian,lizard,anguid_lizard,alligator_lizard,,
n01796340,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,gallinaceous_bird,game_bird,grouse,ptarmigan,,,
n01751748,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,sea_snake,,,,
n01687978,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,saurian,lizard,agamid,agama,,
n01784675,entity,physical_entity,object,whole,living_thing,organism,animal,invertebrate,arthropod,centipede,,,,,,,
n01491361,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,aquatic_vertebrate,fish,cartilaginous_fish,elasmobranch,shark,requiem_shark,tiger_shark,
n01737021,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,colubrid_snake,water_snake,,,
n01608432,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,bird_of_prey,hawk,kite,,,,
n01531178,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,bird,passerine,oscine,finch,goldfinch,,,
n01774750,entity,physical_entity,object,whole,living_thing,organism,animal,invertebrate,arthropod,arachnid,spider,tarantula,,,,,
n01774384,entity,physical_entity,object,whole,living_thing,organism,animal,invertebrate,arthropod,arachnid,spider,black_widow,,,,,
n01748264,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,elapid,cobra,Indian_cobra,,
n01753488,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,reptile,diapsid,snake,viper,horned_viper,,,
n01498041,entity,physical_entity,object,whole,living_thing,organism,animal,chordate,vertebrate,aquatic_vertebrate,fish,cartilaginous_fish,elasmobranch,ray,stingray,,
