hierarchy_level,parent_node,child_node,probability
0,(none),entity,1.0
1,entity,physical_entity,1.0
2,physical_entity,object,1.0
3,object,whole,1.0
4,whole,living_thing,1.0
5,living_thing,organism,1.0
6,organism,animal,1.0
7,animal,chordate,0.5
7,animal,invertebrate,0.5
8,chordate,vertebrate,1.0
8,invertebrate,arthropod,1.0
9,arthropod,arachnid,0.3333333333333333
9,arthropod,centipede,0.3333333333333333
9,arthropod,trilobite,0.3333333333333333
9,vertebrate,amphibian,0.25
9,vertebrate,aquatic_vertebrate,0.25
9,vertebrate,bird,0.25
9,vertebrate,reptile,0.25
10,amphibian,frog,0.5
10,amphibian,salamander,0.5
10,aquatic_vertebrate,fish,1.0
10,arachnid,acarine,0.25
10,arachnid,harvestman,0.25
10,arachnid,scorpion,0.25
10,arachnid,spider,0.25
10,bird,bird_of_prey,0.14285714285714285
10,bird,cock,0.14285714285714285
10,bird,gallinaceous_bird,0.14285714285714285
10,bird,hen,0.14285714285714285
10,bird,parrot,0.14285714285714285
10,bird,passerine,0.14285714285714285
10,bird,ratite,0.14285714285714285
10,reptile,anapsid,0.5
10,reptile,diapsid,0.5
11,acarine,tick,1.0
11,anapsid,chelonian,1.0
11,bird_of_prey,eagle,0.25
11,bird_of_prey,hawk,0.25
11,bird_of_prey,owl,0.25
11,bird_of_prey,vulture,0.25
11,diapsid,archosaur,0.25
11,diapsid,crocodilian_reptile,0.25
11,diapsid,saurian,0.25
11,diapsid,snake,0.25
11,fish,bony_fish,0.5
11,fish,cartilaginous_fish,0.5
11,frog,tailed_frog,0.3333333333333333
11,frog,tree_frog,0.3333333333333333
11,frog,true_frog,0.3333333333333333
11,gallinaceous_bird,game_bird,1.0
11,parrot,African_grey,0.5
11,parrot,macaw,0.5
11,passerine,oscine,1.0
11,ratite,ostrich,1.0
11,salamander,European_fire_salamander,0.3333333333333333
11,salamander,ambystomid,0.3333333333333333
11,salamander,newt,0.3333333333333333
11,spider,barn_spider,0.16666666666666666
11,spider,black_and_gold_garden_spider,0.16666666666666666
11,spider,black_widow,0.16666666666666666
11,spider,garden_spider,0.16666666666666666
11,spider,tarantula,0.16666666666666666
11,spider,wolf_spider,0.16666666666666666
12,ambystomid,axolotl,0.5
12,ambystomid,spotted_salamander,0.5
12,archosaur,dinosaur,1.0
12,bony_fish,teleost_fish,1.0
12,cartilaginous_fish,elasmobranch,1.0
12,chelonian,turtle,1.0
12,crocodilian_reptile,alligator,0.5
12,crocodilian_reptile,crocodile,0.5
12,eagle,bald_eagle,1.0
12,game_bird,grouse,0.5
12,game_bird,phasianid,0.5
12,hawk,kite,1.0
12,newt,common_newt,0.5
12,newt,eft,0.5
12,oscine,corvine_bird,0.2
12,oscine,finch,0.2
12,oscine,thrush,0.2
12,oscine,titmouse,0.2
12,oscine,water_ouzel,0.2
12,owl,great_grey_owl,1.0
12,saurian,lizard,1.0
12,snake,colubrid_snake,0.2
12,snake,constrictor,0.2
12,snake,elapid,0.2
12,snake,sea_snake,0.2
12,snake,viper,0.2
12,true_frog,bullfrog,1.0
13,alligator,American_alligator,1.0
13,colubrid_snake,garter_snake,0.1111111111111111
13,colubrid_snake,green_snake,0.1111111111111111
13,colubrid_snake,hognose_snake,0.1111111111111111
13,colubrid_snake,king_snake,0.1111111111111111
13,colubrid_snake,night_snake,0.1111111111111111
13,colubrid_snake,ringneck_snake,0.1111111111111111
13,colubrid_snake,thunder_snake,0.1111111111111111
13,colubrid_snake,vine_snake,0.1111111111111111
13,colubrid_snake,water_snake,0.1111111111111111
13,constrictor,boa,1.0
13,corvine_bird,jay,0.5
13,corvine_bird,magpie,0.5
13,crocodile,African_crocodile,1.0
13,dinosaur,ornithischian,1.0
13,elapid,cobra,0.5
13,elapid,mamba,0.5
13,elasmobranch,ray,0.5
13,elasmobranch,shark,0.5
13,finch,brambling,0.2
13,finch,bunting,0.2
13,finch,goldfinch,0.2
13,finch,house_finch,0.2
13,finch,junco,0.2
13,grouse,black_grouse,0.25
13,grouse,prairie_chicken,0.25
13,grouse,ptarmigan,0.25
13,grouse,ruffed_grouse,0.25
13,lizard,agamid,0.1111111111111111
13,lizard,anguid_lizard,0.1111111111111111
13,lizard,chameleon,0.1111111111111111
13,lizard,gecko,0.1111111111111111
13,lizard,iguanid,0.1111111111111111
13,lizard,lacertid_lizard,0.1111111111111111
13,lizard,monitor,0.1111111111111111
13,lizard,teiid_lizard,0.1111111111111111
13,lizard,venomous_lizard,0.1111111111111111
13,phasianid,partridge,0.3333333333333333
13,phasianid,pheasant,0.3333333333333333
13,phasianid,quail,0.3333333333333333
13,teleost_fish,soft-finned_fish,1.0
13,thrush,nightingale,0.5
13,thrush,robin,0.5
13,titmouse,chickadee,1.0
13,turtle,box_turtle,0.25
13,turtle,mud_turtle,0.25
13,turtle,sea_turtle,0.25
13,turtle,terrapin,0.25
13,viper,horned_viper,0.5
13,viper,pit_viper,0.5
14,agamid,agama,0.5
14,agamid,frilled_lizard,0.5
14,anguid_lizard,alligator_lizard,1.0
14,boa,boa_constrictor,0.5
14,boa,python,0.5
14,bunting,indigo_bunting,1.0
14,chameleon,African_chameleon,1.0
14,cobra,Indian_cobra,1.0
14,gecko,banded_gecko,1.0
14,iguanid,American_chameleon,0.5
14,iguanid,common_iguana,0.5
14,lacertid_lizard,green_lizard,1.0
14,mamba,black_mamba,1.0
14,monitor,Komodo_dragon,1.0
14,nightingale,bulbul,1.0
14,ornithischian,ceratopsian,1.0
14,pheasant,peafowl,1.0
14,pit_viper,rattlesnake,1.0
