walk_id,hierarchy_path,chosen_wnid,chosen_image
1,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-hen,n01514859,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01514859/n01514859_2366.JPEG
2,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-goldfish,n01443537,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01443537/n01443537_10353.JPEG
3,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-goldfish,n01443537,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01443537/n01443537_17268.JPEG
4,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-goldfish,n01443537,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01443537/n01443537_4099.JPEG
5,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-ratite-ostrich,n01518878,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01518878/n01518878_4363.JPEG
6,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-goldfish,n01443537,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01443537/n01443537_19669.JPEG
7,entity-physical_entity-object-whole-living_thing-organism-animal-invertebrate-arthropod-trilobite,n01768244,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01768244/n01768244_7893.JPEG
8,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-tench,n01440764,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01440764/n01440764_6049.JPEG
9,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-parrot-macaw,n01818515,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01818515/n01818515_12597.JPEG
10,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-passerine-oscine-titmouse-chickadee,n01592084,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01592084/n01592084_4763.JPEG
11,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-goldfish,n01443537,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01443537/n01443537_2819.JPEG
12,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-hen,n01514859,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01514859/n01514859_2794.JPEG
13,entity-physical_entity-object-whole-living_thing-organism-animal-invertebrate-arthropod-trilobite,n01768244,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01768244/n01768244_5294.JPEG
14,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-gallinaceous_bird-game_bird-grouse-black_grouse,n01795545,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01795545/n01795545_14856.JPEG
15,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-gallinaceous_bird-game_bird-phasianid-partridge,n01807496,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01807496/n01807496_9523.JPEG
16,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-parrot-macaw,n01818515,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01818515/n01818515_2600.JPEG
17,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-parrot-macaw,n01818515,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01818515/n01818515_2571.JPEG
18,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-tench,n01440764,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01440764/n01440764_10449.JPEG
19,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-passerine-oscine-water_ouzel,n01601694,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01601694/n01601694_18600.JPEG
20,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-passerine-oscine-water_ouzel,n01601694,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01601694/n01601694_17025.JPEG
21,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-reptile-diapsid-archosaur-dinosaur-ornithischian-ceratopsian-triceratops,n01704323,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01704323/n01704323_2158.JPEG
22,entity-physical_entity-object-whole-living_thing-organism-animal-invertebrate-arthropod-trilobite,n01768244,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01768244/n01768244_3676.JPEG
23,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-goldfish,n01443537,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01443537/n01443537_10092.JPEG
24,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-bird-gallinaceous_bird-game_bird-phasianid-partridge,n01807496,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01807496/n01807496_2760.JPEG
25,entity-physical_entity-object-whole-living_thing-organism-animal-chordate-vertebrate-aquatic_vertebrate-fish-bony_fish-teleost_fish-soft-finned_fish-cypriniform_fish-cyprinid-goldfish,n01443537,/home/ygu2/kekechen_common/datasets/imagenet/imagenet/ILSVRC/Data/CLS-LOC/train/n01443537/n01443537_7852.JPEG
